,Descripcion,Amenidades,Detalles,Precio,Direccion
0,"Ref: 4 4 6 6 7

Venta casa de lux con todo incluido de un piso en zona Noreste de Mérida a tan solo 6 cuadras de periférico Fraccionamiento con servicios subterráneos a 5 minutos de Altabrisa con piscina Incluida





NEXIMOINMOBILIARIADIGITAL","['Restaurantes', 'Servicios', 'Escuelas']","['380 m² Total', '450 m² Construido', '3 Baños', '3 Estacionamientos', '4 Recámaras', '10 Antigüedad']","MN 5,000,000","calle 15 343, San Lorenzo, Juárez"
1,"CASA EN VENTA: Ubicación por haciendas del nogal
- Casa de 2 pisos

Cuenta con:
- Más de 130 m² de construcción
- 3 recamaras
- 1 baño y medio
- Cocina integral
- Estancia
- Comedor
- Boiler
- Aire acondicionado
- Rejas
- Estacionamiento

PRECIO DE: $1,750,000 MXN
SE ACEPTA CUALQUIER CREDITO","['Restaurantes', 'Servicios', 'Escuelas']","['120 m² Total', '130 m² Construido', '1 Baño', '2 Estacionamientos', '3 Recámaras', '1 Medio baño', '1 Antigüedad']","MN 1,750,000","los nogales, Fraccionamiento Hacienda de los Nogales, Juárez"
2,"CASA EN VENTA: LOS NOGALES
Calle Rio Volga
Terreno: 200 m²
Const: 160 m²

- 4 Recamaras (2 en planta baja con baño completo)
- 2 Baños completos
- 2 Estancias
- Cocina Integral
- Cuarto de lavanderia
- Patio con asador
- Cochera para un auto

PRECIO: $2,700,000 MXN
SE TOMAN PROPIEDADES A CUENTA","['Restaurantes', 'Servicios', 'Escuelas']","['200 m² Total', '160 m² Construido', '2 Baños', '1 Estacionamiento', '4 Recámaras', '1 Antigüedad']","MN 2,700,000","Río Volga 3739, Los Nogales, Juárez"
3,"MODELO ARUMA
• $2,583,617 MXN
• Construcción: 195 m2
• Terreno: 198 m2

PANTA BAJA
• Sala/ Cocina/ Comedor
• Estacionamiento para 2 vehículos
• Amplio espacio funcional en patio
• ½ Baños
PLANTA ALTA
• 3 Recamara - Estancia
• 2 Baños completos – espacio para closets
• Recamara principal con closet vestidor
• Lavandería","['Restaurantes', 'Servicios', 'Escuelas']","['198 m² Total', '195 m² Construido', '2 Baños', '2 Estacionamientos', '3 Recámaras', '1 Medio baño', 'A estrenar']","MN 2,583,617","Valle de Arareco, Manuel Gómez Morín, Juárez"
4,"CASA EN VENTA: FRACC. HACIENDA DE ARAGON
Terreno: 256.65 m²
Const: 298.09 m²

- 4 recamaras
- 4½ baños
- Sala
- Comedor
- Cocina integral
- Desayunador
- Estancia
- Cuarto de servicio
- Cochera para dos autos,
- Hidromatico
- Boiler
- 3 unidades de refrigeración/calefaccion (1 de 5 toneladas, 2 de 3 tonelades)
- Lámparas
- Aislante termico en paredes y techo

PRECIO: $4,500,000 MXN","['Restaurantes', 'Servicios', 'Escuelas']","['256 m² Total', '298 m² Construido', '4 Baños', '2 Estacionamientos', '4 Recámaras', '1 Medio baño', '1 Antigüedad']","MN 4,500,000","aragon 2106, Fraccionamiento Hacienda Aragón, Juárez"
5,"VIENNA RESIDENCIAL - MODELO CELTA
HERMOSA RESIDENCIA NUEVA Estilo Contemporáneo
EXCELENTE UBICACIÓN SOBRE BLVD GÓMEZ MORIN.
Precio: $2,515,000
DESCRIPCIÓN:
Sala, comedor, cocina, cuarto de lavandería en planta alta, 3 recámaras cada una con su baño completo, principal con closet vestidor, 3.5 baños en total, estancia. Balcón en recámara principal.
ACABADOS:
Piso de porcelanato, fachada con cantera, escaleras con barandas
de vidrio templado.

Construcción: 147 m2
Terreno: 140 m2

APARTADO CON $100,000 MXN","['Restaurantes', 'Servicios', 'Escuelas']","['140 m² Total', '147 m² Construido', '3 Baños', '2 Estacionamientos', '3 Recámaras', '1 Medio baño', 'A estrenar']","MN 2,515,000","Las Palmas, Río Grande, Juárez"
6,"Casa con apartamento en la parte de atrás, todos los servicios, documentación en regla. Muy buena ubicación a 5 minutos de Soriana Sander, a 10 minutos de Puente Santa Fe entre eje vial Juan Gabriel y Niños Héroes.

NO ES REMATE BANCARIO","['Restaurantes', 'Servicios', 'Escuelas']","['189 m² Total', '114 m² Construido', '2 Baños', '3 Estacionamientos', '2 Recámaras', '50 Antigüedad']","MN 790,000","justo sierra 951 barreal , Barreal, Juárez"
7,"VIENNA RESIDENCIAL - MODELO ALPE
HERMOSA RESIDENCIA NUEVA Estilo Contemporáneo
EXCELENTE UBICACIÓN SOBRE BLVD GÓMEZ MORIN.
Precio: $2,474,000

DESCRIPCIÓN:
Sala, comedor, cocina, cuarto de lavandería en planta alta, 3 recámaras cada una con su baño completo, principal con closet vestidor, 3.5 baños en total, estancia. Balcón en recámara principal.
ACABADOS:
Piso de porcelanato, fachada con cantera, escaleras con barandas
de vidrio templado.

Construcción: 146.55 m²
Terreno: 140 m² * pendiente de corroborar
APARTADO CON $100,000 MXN","['Restaurantes', 'Servicios', 'Escuelas']","['140 m² Total', '146 m² Construido', '3 Baños', '2 Estacionamientos', '3 Recámaras', '1 Medio baño', 'A estrenar']","MN 2,474,000","Las Palmas, Río Grande, Juárez"
8,"4 habitaciones, la habitación principal es una Máster suite incluido walk in clóset
4 baños y medio (2 con jacuzzi), Amplia Cocina equipada, Cuarto de lavado,2 Estancias, Patio Trasero, Cochera para 4 vehículos, Fuente de cantera, Portón eléctrico, Jardín con sistema de Riego, Seguridad privada y Chimenea.
Cerca de TEC DE MONTERREY.
NO ES REMATE BANCARIO","['Restaurantes', 'Servicios', 'Escuelas']","['290 m² Total', '495 m² Construido', '4 Baños', '4 Estacionamientos', '4 Recámaras', '1 Medio baño', '10 Antigüedad']","MN 7,000,000","Fulton 951-16, Fraccionamiento Rincón de las Flores, Juárez"
9,"CASA EN VENTA: AUREA RESIDENCIAL
Terreno: 141.52 m²
Const: 141.70 m²

- 3 habitaciones (Recamara principal con baño propio y espacio para estudio)
- 2 1/2 Baños
- Sala
- Comedor
- Espacio para estancia en planta alta
- Estacionamiento para 2 autos
- Patio
- Fraccionamiento privado

Se entrega con aire master cool, Calefaccion, boiler y persianas. No incluye cocina integral

PRECIO DE: $2,387,000 MXN","['Restaurantes', 'Servicios', 'Escuelas']","['141 m² Total', '141 m² Construido', '2 Baños', '2 Estacionamientos', '3 Recámaras', '1 Medio baño', '1 Antigüedad']","MN 2,387,000","Aurea Residencial, Tecnológico, Juárez"
